Species,knownDeathsF,knownDeathsM,ICM_F,ICM_M,CMR_M,CMR_F,order
Acinonyx_jubatus,105,120,0.030140482705758,0.048122533614164,0.033333333333333,0.038095238095238,Carnivora
Ailurus_fulgens,47,51,0.115641294516994,0.044527582354438,0.058823529411765,0.085106382978723,Carnivora
Aonyx_cinerea,85,74,0.146707607870522,0.015495566399441,0.040540540540541,0.082352941176471,Carnivora
Arctictis_binturong,14,13,0.064763855019217,0.188874398273705,0.153846153846154,0.142857142857143,Carnivora
Canis_rufus,17,14,0.188612358426988,0.413089699817355,0.428571428571429,0.117647058823529,Carnivora
Chrysocyon_brachyurus,43,27,0.105937017275572,0.168467497486665,0.148148148148148,0.116279069767442,Carnivora
Cuon_alpinus,22,26,0.292105575067416,0.050741713187661,0.076923076923077,0.227272727272727,Carnivora
Cynictis_penicillata,18,13,,,0.076923076923077,0.111111111111111,Carnivora
Felis_margarita,19,14,0.187704888342332,0.051641813395133,0.071428571428571,0.157894736842105,Carnivora
Felis_silvestris,17,22,0.077719906785288,0,0,0.058823529411765,Carnivora
Helogale_parvula,13,20,0,0,0,0,Carnivora
Leopardus_pardalis,18,13,0.142720241327147,0.151842048274339,0.230769230769231,0.166666666666667,Carnivora
Leptailurus_serval,19,32,0.248516359644161,0.066524322893983,0.0625,0.157894736842105,Carnivora
Lutra_lutra,16,11,0,0,0,0,Carnivora
Lycaon_pictus,81,68,0.16077065033301,0.14092727900526,0.132352941176471,0.148148148148148,Carnivora
Lynx_lynx,14,20,0.012206675426224,0.074790326452993,0.1,0.071428571428571,Carnivora
Mungos_mungo,24,20,0.04508370042648,0.007452797656937,0.05,0.083333333333333,Carnivora
Mustela_lutreola,19,20,,,0.3,0,Carnivora
Mustela_nigripes,16,29,0.061216575060824,0.105407818522197,0.103448275862069,0.125,Carnivora
Nasua_nasua,72,55,0.095864740295997,,0.036363636363636,0.041666666666667,Carnivora
Otocolobus_manul,18,17,,,0.058823529411765,0.111111111111111,Carnivora
Otocyon_megalotis,12,11,0.149831499384768,,0.272727272727273,0.25,Carnivora
Panthera_leo,118,86,0.128273531833247,0.10590449334248,0.127906976744186,0.127118644067797,Carnivora
Panthera_onca,25,16,0.265031643058698,0.142135704107524,0.125,0.32,Carnivora
Panthera_pardus,53,47,0.036175671894501,0.058125753585033,0.063829787234043,0.037735849056604,Carnivora
Panthera_tigris,110,86,0.101103662219128,0.17550106548286,0.162790697674419,0.109090909090909,Carnivora
Panthera_uncia,50,41,,,0.073170731707317,0.12,Carnivora
Prionailurus_bengalensis,14,13,0.028921445184648,0,0,0.071428571428571,Carnivora
Prionailurus_viverrinus,10,10,0,0.189715910528599,0.1,0,Carnivora
Procyon_lotor,30,22,0.153486548915717,0.153276705121042,0.363636363636364,0.1,Carnivora
Puma_concolor,17,17,0.144802304138718,0.076955016968951,0.058823529411765,0.176470588235294,Carnivora
Speothos_venaticus,11,21,0,0.030520564792587,0.047619047619048,0,Carnivora
Suricata_suricatta,185,198,0.117062546491767,0.137900785349238,0.090909090909091,0.075675675675676,Carnivora
Ursus_arctos,24,16,0.057204201076328,0.080590046175359,0.125,0.083333333333333,Carnivora
Vulpes_zerda,19,23,0.130114086680051,0.156785316500963,0.130434782608696,0.157894736842105,Carnivora
Zalophus_californianus,22,23,0.229248986811633,0.058767114127158,0.08695652173913,0.090909090909091,Carnivora
