,Species,order,FemaleMeanMass,MaleMeanMass,CMR,ICM,lifeexp,Sample,Deaths,Neoplasia,knownDeaths,Animal,Vertebrate,Invertebrate,Fish,Herptile,Bird,Mammal
1,Acinonyx_jubatus,Carnivora,39.9061684595192,45.1939758218416,0.035555555555556,0.041554932290667,3533.85962149425,1560,649,8,225,1,1,0,0,0,0,1
2,Addax_nasomaculatus,Artiodactyla,102.281105856321,118.98500736,0.035714285714286,0.061624106365345,3127.88621422474,762,336,3,84,0,0,0,0,0,0,0
3,Aepyceros_melampus,Artiodactyla,42.373843986423,53.9256857939394,0.057324840764331,0.141181814031826,2465.89290795649,1007,537,9,157,0,0,0,0,0,0,0
4,Ailurus_fulgens,Carnivora,5.92163863431288,6.02914340522653,0.070707070707071,0.073360599900101,3580.26130633295,1068,421,7,99,0,0,0,0,0,0,0
5,Alces_alces,Artiodactyla,292.792354365283,397.025427481481,0,0,2103.78318213882,246,147,0,33,0,0,0,0,0,0,0
6,Alouatta_caraya,Primates,7.04452023574901,10.7024182905746,0.2,NA,5868.08341567559,278,78,5,25,0,0,0,0,0,0,0
7,Ammotragus_lervia,Artiodactyla,55.4358186222222,79.4343847316103,0.040322580645161,0.085277432740879,3157.15433197775,1298,589,5,124,0,0,0,0,0,0,0
8,Antidorcas_marsupialis,Artiodactyla,28.9549157607656,30.7469556713178,0.006024096385542,0.005448207779198,1728.05717250629,654,400,1,166,0,0,0,0,0,0,0
9,Antilocapra_americana,Artiodactyla,41.0130071117719,45.8112877202319,0.03125,0.037926950402752,2057.87922767728,176,99,1,32,0,0,0,0,0,0,0
10,Antilope_cervicapra,Artiodactyla,28.1572072530031,33.9162496998855,0,0,2307.01636858255,1886,981,0,196,0,0,0,0,0,0,0
11,Aonyx_cinerea,Carnivora,3.25078469457364,3.35857518545455,0.060975609756098,0.089950585959748,3242.64758458114,1267,595,10,164,1,1,1,0,1,0,0
12,Arctictis_binturong,Carnivora,17.8323326934591,16.5793196313519,0.148148148148148,0.187018140197695,5238.72098394,291,97,4,27,1,1,0,1,0,1,0
13,Ateles_fusciceps,Primates,9.21515476929664,9.17408785521851,0.095238095238095,NA,8212.16186350021,289,67,2,21,0,0,0,0,0,0,0
14,Ateles_geoffroyi,Primates,7.94245626305561,7.88453096178393,0.142857142857143,0.190286811047068,8757.29935702017,273,71,4,28,0,0,0,0,0,0,0
15,Axis_axis,Artiodactyla,47.7113810090452,70.5658795951807,0.081081081081081,0.070912549390124,3332.78591188064,819,332,6,74,0,0,0,0,0,0,0
16,Axis_porcinus,Artiodactyla,30.6158064516129,42.07606,0.03448275862069,0.026661639356831,3381.52289879645,361,131,1,29,0,0,0,0,0,0,0
17,Bettongia_penicillata,Diprotodontia,1.06146496742524,1.06616218105263,0,0,2808.61061518565,280,127,0,21,0,0,0,0,0,0,0
18,Bison_bison,Artiodactyla,486.8670857609,777.241032115523,0.054794520547945,0.052497735032763,4678.86834381364,985,314,4,73,0,0,0,0,0,0,0
19,Bison_bonasus,Artiodactyla,351.820512820513,627.586666666667,0.040816326530612,0.044552122338675,4130.21583591787,497,209,2,49,0,0,0,0,0,0,0
20,Boselaphus_tragocamelus,Artiodactyla,177.587741935484,229.764993575758,0.05,0.04946583744254,3532.20466897627,444,191,2,40,0,0,0,0,0,0,0
21,Budorcas_taxicolor,Artiodactyla,234.843522707183,342.222271763136,0.035714285714286,0.006254346333472,4042.37913060666,399,128,1,28,0,0,0,0,0,0,0
22,Callimico_goeldii,Primates,0.571607038159162,0.555247200292765,0.067415730337079,0.18249573054225,3343.53723958506,760,395,6,89,1,1,1,0,0,0,0
23,Callithrix_geoffroyi,Primates,0.484275968963993,0.441633216938743,0.019607843137255,0.013915598272267,2387.153122032,725,409,2,102,1,1,1,0,1,0,0
24,Callithrix_jacchus,Primates,0.392239050062661,0.371186543799908,0.024590163934426,0.013273726679573,2542.33103517423,1001,546,3,122,1,1,1,0,1,0,0
25,Callosciurus_prevostii,Rodentia,0.485226853981418,0.484492997523585,0.066666666666667,0.084352151208492,2386.6546562064,258,160,3,45,0,0,0,0,0,0,0
26,Canis_rufus,Carnivora,23.4313370678669,27.439684656214,0.258064516129032,0.327317479304229,3223.18926638296,194,95,8,31,1,1,0,0,0,0,1
27,Capra_caucasica,Artiodactyla,47.7229294608696,83.3303732363636,0,0,2178.0434621122,384,222,0,58,0,0,0,0,0,0,0
